ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²)
1e551df661,think normally drawn people familiar similar us cougar thing quick fun,positive,morning,46-60,Georgia,3989167.0,69490.0,57.0
5d470d3192,days aight cleaning mostly went mcds check hader toyno luck ate chickfila,negative,noon,60-70,Libya,6871292.0,1759540.0,4.0
0c89ab7ac0,happy star wars day im going make pasta get showered dressed watch films like days off  days,positive,night,70-100,Chile,19116201.0,743532.0,26.0
98fe7210fa,ouch back im sick pamela anderson esque chest,negative,night,31-45,Portugal,10196709.0,91590.0,111.0
f0bb64692f,wishing sunny day might bothered get outta bed up blues,negative,night,70-100,Netherlands,17134872.0,33720.0,508.0
3e2e986a68,im happy,negative,noon,60-70,Cyprus,1207359.0,9240.0,131.0
af3cb04ffc,day long text conversation me,neutral,morning,46-60,Liberia,5057681.0,96320.0,53.0
56437e0860,know exactly mean ive lost many friends feel,negative,night,31-45,Zimbabwe,14862924.0,386850.0,38.0
c930341ca9,funny thanks,positive,night,70-100,Mexico,128932753.0,1943950.0,66.0
5a17107aba,done absolutely nothing day todayhow pitiful thatsmdhguess cant go nite gotta work booo,negative,noon,21-30,Colombia,50882891.0,1109500.0,46.0
4641062e9d,home now lol leaving monday flo rida,neutral,noon,21-30,Paraguay,7132538.0,397300.0,18.0
2d4944b8ef,knew worn sars mask plane socal feeling beginnings sore throat,negative,morning,46-60,Serbia,8737371.0,87460.0,100.0
ac164fffd5,hello lovely followers love peace house lolz need weather,positive,noon,60-70,Somalia,15893222.0,627340.0,25.0
08a8d660b1,wish knew someone could hook us up friend told got crappy seats show chi,negative,noon,21-30,Seychelles,98347.0,460.0,214.0
218486ebee,waching grays antomy,neutral,morning,0-20,Central African Republic,4829767.0,622980.0,8.0
8994865218,last song  really go  ,neutral,night,31-45,Algeria,43851044.0,2381740.0,18.0
4f59a42713,live tv coming xbox  live uk ,neutral,morning,0-20,Jamaica,2961167.0,10830.0,273.0
fa5227b663,cant grandma probably phone get aim,neutral,noon,60-70,North Korea,25778816.0,120410.0,214.0
f94213cfb8,im still waiting find caca stands  hoping think since follow caca,neutral,noon,60-70,Tuvalu,11792.0,30.0,393.0
e0794d1a3e,oh ok always wondered worked top ear done dont think could get anything else pierced,neutral,morning,46-60,Eritrea,3546421.0,101000.0,35.0
48b76ce5f4,day open  know do everyone leaving today,neutral,night,70-100,Liechtenstein,38128.0,160.0,238.0
f532604ee6,want go work,negative,noon,21-30,Slovakia,5459642.0,48088.0,114.0
ddae59d08f,back  home  bathing kids ironing clothes hubby  nephews graduation tonight remember ,neutral,morning,0-20,Mongolia,3278290.0,1553560.0,2.0
81a0d2766d,going back house pick dvds bapang pick ditos forgot pick dvds dito go back,neutral,night,70-100,Namibia,2540905.0,823000.0,3.0
4cbd2d23dc,vp goneso getting headache time coffee fight off migraine ohnoyoudidnt,negative,morning,46-60,Mauritania,4649658.0,1030700.0,5.0
4e12593253,made wonderful breakfast get ready workout,positive,morning,46-60,Kuwait,4270571.0,17820.0,240.0
a479935bee,waiti thought  till  sigjeans,neutral,night,31-45,Sierra Leone,7976983.0,72180.0,111.0
2d882d5270,womp womp woooomp,positive,morning,46-60,Mongolia,3278290.0,1553560.0,2.0
63fec8932a, hurts sister much potential isnt using waste godgiven talent,neutral,morning,46-60,Dominica,71986.0,750.0,96.0
076dad1b7a,lol see king,neutral,morning,0-20,Rwanda,12952218.0,24670.0,525.0
02ea061b1d,scary,negative,night,70-100,Honduras,9904607.0,111890.0,89.0
0ed5414121,_nash badumtish win,positive,morning,46-60,Greece,10423054.0,128900.0,81.0
1cc39a6797,yay go wyattt totally amazing im happy you yay,positive,night,70-100,Uzbekistan,33469203.0,425400.0,79.0
46ef889389,think how much want it factor really want  fit again thats going happen,negative,night,70-100,South Africa,59308690.0,1213090.0,49.0
b64d5f8e81,jeans two inches long five inches long holy cow getting shorter,negative,morning,0-20,Benin,12123200.0,112760.0,108.0
0c0b11818a,missed ups guy again ugh sad got cool stuff today im super excited about looking forward tonight,neutral,noon,60-70,Moldova,4033963.0,32850.0,123.0
8925d7b678,gooooooood morning campers happy mothers day,positive,morning,0-20,Afghanistan,38928346.0,652860.0,60.0
7e263b31aa,bigggest headache,negative,noon,60-70,Libya,6871292.0,1759540.0,4.0
66629a38ef,bout go work,neutral,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
6bff31375d,prd take long time review,neutral,morning,46-60,Bosnia and Herzegovina,3280819.0,51000.0,64.0
da9dec497a,love baby see im cool now,positive,morning,0-20,Haiti,11402528.0,27560.0,414.0
6b04f2321a,fml dad didnt leave moneyz  wait till gets home call finish work,neutral,night,31-45,Panama,4314767.0,74340.0,58.0
7d8c4c11e4,hope unni make audition  fighting dahye unni ,positive,noon,21-30,Cameroon,26545863.0,472710.0,56.0
dc0f5bca14,anthonys prom,neutral,noon,60-70,Gabon,2225734.0,257670.0,9.0
9111a4ad9a,sup guys downloaded tweetdeck gettin move right  tweet nice clothes sits summat x,positive,morning,0-20,South Korea,51269185.0,97230.0,527.0
90a479208e,hey wahts happening coffeclub didnt coffee two days,neutral,morning,46-60,South Korea,51269185.0,97230.0,527.0
71af66295a,thats real geek talk hahai feel you,positive,noon,60-70,Paraguay,7132538.0,397300.0,18.0
67e985f8df,drive teeny tiny honda civic ,neutral,noon,21-30,Mauritius,1271768.0,2030.0,626.0
47f17f9d5d,youll never alone love you thats really know,positive,morning,46-60,New Zealand,4822233.0,263310.0,18.0
65d437c47d,home sick fridaystudying im point weekend ruined,negative,morning,0-20,Saint Vincent and the Grenadines,110940.0,390.0,284.0
3414f1dd40,gonna knit felted heart toy mum mothers day great not really loves anything give luv ya mummy,positive,night,70-100,Burkina Faso,20903273.0,273600.0,76.0
