ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²),Ground Truth
d1d7ed938d, great site photos fantastic useful visit pembroke inc skomer june,positive,morning,46-60,Egypt,102334404,995450,103,happiness
be0a927a80,_n  too want ooze speaking either why lame jokes wiping social media shoe lol,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,df
6b4eb2871c,thanks link ive voted  ill send too,positive,noon,21-30,Bulgaria,6948445,108560,64,df
9c503adc87,also liptons sparkling green tea gross,neutral,noon,21-30,Somalia,15893222,627340,25,disgust
3e1f7acd3c,know lender was yea people definitely sucked butt toes friendly helpful,negative,night,70-100,Monaco,39242,1,26337,anger
c818fdf4b8,sun turned blancmange sucks pale,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,sadness
b01c96b216, you,neutral,noon,21-30,Paraguay,7132538,397300,18,df
c5a47367cc,come join fun first pitch legends game may th   pm ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,happiness
a16aa7fcc4,happy mothers day gr day,positive,morning,0-20,Haiti,11402528,27560,414,happiness
553beefa8b,ever since orchid quit drinking bottle eating us house home holy  girl still drinking milk though,neutral,noon,60-70,Nicaragua,6624554,120340,55,surprise
905ae17f24,walk  workabout  minsthink makes worse improves indoors tho,neutral,noon,21-30,Switzerland,8654622,39500,219,sadness
684b2dcea7,good one,positive,noon,60-70,Germany,83783942,348560,240,df
c4cad35b0f,comp deleted half apps,negative,night,70-100,Comoros,869601,1861,467,sadness
5552d4fffb,oh ladies suffer lol,neutral,morning,46-60,Rwanda,12952218,24670,525,df
9d605483af,mc john sim posit  yr passed softees stranded without warren tea tech spec kaching ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,df
20290b6985,thats gorgeous ill check new pics,positive,noon,60-70,Denmark,5792202,42430,137,happiness
c2484278c9,mm films usually handled fuji oh met girl san diego kwento soon miss youuu,negative,night,70-100,Sierra Leone,7976983,72180,111,happiness
51f650a1a9,glad liked it hes done loads arrangements one could find blip,positive,morning,46-60,Dominica,71986,750,96,happiness
54477f9f5c,melissa_leah car wont start,negative,morning,46-60,Ireland,4937786,68890,72,sadness
9c52e5ba66, love days school one friday,positive,night,70-100,Pakistan,220892340,770880,287,happiness
4e93939f99, weekend standby duty,neutral,noon,60-70,Libya,6871292,1759540,4,df
34b20a06ef,awoooogahhhhhh heheee hope get decently priced breakfast real quick david,positive,night,31-45,Senegal,16743927,192530,87,happiness
66095230ee,spending qt hubby,positive,night,31-45,United Kingdom,67886011,241930,281,happiness
be266a8cef,huh ill try for reason try,neutral,noon,60-70,Fiji,896445,18270,49,df
0435d42f80,mad hell someone stole pink  black leapord print pumps wanted wear today god glory hell bless abundantly,negative,night,31-45,Mexico,128932753,1943950,66,anger
54fb6ac46e,kisses screwed ill raggy old cat woman ha im pretty sure,negative,noon,60-70,Samoa,198414,2830,70,happiness
aff624f133,thanx tom love u  great day,positive,morning,0-20,Vanuatu,307145,12200,25,happiness
0ba8d6cdb3,actually planning working  wth alas meetings kaiboshed plan,neutral,morning,46-60,Kazakhstan,18776707,2699700,7,df
4633886fcf,side  seat loner please starbucks there,neutral,morning,0-20,Egypt,102334404,995450,103,sadness
4ce03d596c,want travel little,neutral,noon,21-30,Grenada,112523,340,331,happiness
fff190b4af,burden abit fail lunch dan,negative,night,31-45,Ecuador,17643054,248360,71,sadness
