Text,Emotion
didnt want stay feeling loneliness emptiness prayers blank requests paper deity,sadness
feel sorry seeing parents,sadness
cant help feel someones going end pissed,anger
done music movie production last four years feel time fashion im passionate,joy
think feel passionate favorite workout gear love seeing people love need live without hoping share favorites comments,love
feel kind ashamed write things like sat couch watched antm marathon,sadness
feel earth move tribute carole king karaoke mix bewertung rel nofollow target blank,sadness
try explaining feelings someone dismisses blindly feel frustrated disinterested discussing opinions cannot put place know experienced living,anger
allowed feel really shitty feelings running endorphins flowing hurt less b could pretend running away,sadness
put one side focus following version shameful revelations allegation even ideal egalitarian society reveal state one untalented would cause citizens feel ashamed,sadness
know good friends biking tulip fields feel little regretful,sadness
feel pretty beaten,sadness
feel really pumped also eager try hiit high intensity interval training thanks new friend sarah,joy
think anticipation feeling yesterday kind miracle didnt like fake injury something able go hospital see,sadness
didnt go cardboard goals feel successful turned,joy
sat feeling empty lost scared,sadness
know feel pretty disgusted nonstop lefty propaganda ministry churns public tuned,anger
im feeling somewhat optimistic wont damn coward,joy
must unable contain expression immediately offered string reasons words ranging inadequate computer computer difficulty using said computer feeling inhibited writing much computer fear losing,sadness
im sad feel every heartbroken song written,sadness
write something big happened like fun trip milestone times write tell im feeling sweet baby snuggles growing personality,joy
really enjoyed using products cleanse polish made skin feel lovely soft,love
feel like moment things worry organise supportive let forget give attention deserves,love
feel strong urge stop work trip,joy
also niggling feeling im getting complacent abilities,joy
feel miserable inside outside like,sadness
still well feel quite ok results,joy
feel vital importance stress show love towards one another genuine love please people otherwise feel free go cold like misled,joy
feel rejected like dont belong circle circles realised never comfortable,sadness
quarrel father,anger
found working detroit specialized christian literature lol im feeling little grouchy tonight,anger
feel like part team far isolated feeling many months,sadness
feel extremely dangerous wandering sea,anger
felt shrinking feeling horrible,sadness
feel bothered,anger
feel like vile thing brooding gnawing deeper spirit,anger
believe readers feel impressed individual journey,surprise
feel cold drained time im either hungry tired cold moment sort sucks,anger
wanted thank giving jordan chance together without distraction making us feel welcomed loved,joy
know upset feel melancholy eating away insides leaving tears eyes ache heart,sadness
cant shake familiar feeling ive got precious little time left,joy
feel feelings coming back hateful jealous paranoid feelings used torture relentlessly,anger
feel bouncy yay today,joy
feel like artistic block right artwork looks stiff forced happens,joy
feeling nervous sure like anyone else would position,fear
read yahoo thought verrrrrrrryyyy interesting n n n n red may color love reason makes men feel amorous ntoward,love
love makes feel greedy,anger
want leave thanked parents trusting spend night made feel like respected,joy
overcome heat started feeling weird,fear
feeling sociable,joy
bit depressed really feeling defeated,sadness
feeling one idiotic childish trumpeters talking luh,sadness
feel cold breeze,anger
id done though kind found sympathizing demons church called feeling disgusted people supposed trying fight,anger
came home early caught year old daughter sex feel devastated,sadness
feel vaguely frustrated extent thoughts cycling invade space mind,anger
loosing feel like much share many anything unfortunate anything makes grateful,sadness
feel content,joy
felt deep heart love lost caresse way touch rest universe love hate strong feelings never vain never lost,sadness
feel like self promotion truly caring greater good,love
feeding morla started feel agitated reason,anger
remember leaving church feeling invigorated every sunday tuesday night,joy
find anything feel complacent,joy
still dont know make somehow feel even assured teach works,joy
could bottle feeling weight loss strategy id rich,joy
asked zack could go write feeling gracious enough let,joy
feel two girls shocked saying,surprise
mean way house feels draw around like arrange rearrange little corners assemble still lifes flowers precious objects,joy
feel blessed able see anything,joy
really feel life perfect right isnt much ask hope everything would stay,joy
would hurt make feel pain would vain,sadness
im feeling especially lonely,sadness
want keep feeling strong yet cant neglect feeling inside feeling betrayal somehow,joy
actually feel lame much lighter workout px im able push harder dont dread much,sadness
already feeling frantic,fear
tired feeling lonely yet someone comes along take away feeling run away,sadness
could feel safe enough,joy
want exhibit new pieces kinda making things bit stressful know id feel somewhat dissatisfied showing old work,anger
