ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²),Ground Truth,Predictions,Match
d1d7ed938d, great site photos fantastic useful visit pembroke inc skomer june,positive,morning,46-60,Egypt,102334404,995450,103,happiness,['happiness'],True
be0a927a80,_n  too want ooze speaking either why lame jokes wiping social media shoe lol,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,df,['df'],True
6b4eb2871c,thanks link ive voted  ill send too,positive,noon,21-30,Bulgaria,6948445,108560,64,df,['df'],True
9c503adc87,also liptons sparkling green tea gross,neutral,noon,21-30,Somalia,15893222,627340,25,disgust,['disgust'],True
3e1f7acd3c,know lender was yea people definitely sucked butt toes friendly helpful,negative,night,70-100,Monaco,39242,1,26337,anger,['anger'],True
c818fdf4b8,sun turned blancmange sucks pale,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,sadness,['sadness'],True
b01c96b216, you,neutral,noon,21-30,Paraguay,7132538,397300,18,df,['happiness'],False
c5a47367cc,come join fun first pitch legends game may th   pm ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,happiness,['happiness'],True
a16aa7fcc4,happy mothers day gr day,positive,morning,0-20,Haiti,11402528,27560,414,happiness,['happiness'],True
553beefa8b,ever since orchid quit drinking bottle eating us house home holy  girl still drinking milk though,neutral,noon,60-70,Nicaragua,6624554,120340,55,surprise,['surprise'],True
905ae17f24,walk  workabout  minsthink makes worse improves indoors tho,neutral,noon,21-30,Switzerland,8654622,39500,219,sadness,['df'],False
684b2dcea7,good one,positive,noon,60-70,Germany,83783942,348560,240,df,['df'],True
c4cad35b0f,comp deleted half apps,negative,night,70-100,Comoros,869601,1861,467,sadness,['sadness'],True
5552d4fffb,oh ladies suffer lol,neutral,morning,46-60,Rwanda,12952218,24670,525,df,['df'],True
9d605483af,mc john sim posit  yr passed softees stranded without warren tea tech spec kaching ,neutral,morning,0-20,Timor-Leste,1318445,14870,89,df,['df'],True
20290b6985,thats gorgeous ill check new pics,positive,noon,60-70,Denmark,5792202,42430,137,happiness,['happiness'],True
c2484278c9,mm films usually handled fuji oh met girl san diego kwento soon miss youuu,negative,night,70-100,Sierra Leone,7976983,72180,111,happiness,['happiness'],True
51f650a1a9,glad liked it hes done loads arrangements one could find blip,positive,morning,46-60,Dominica,71986,750,96,happiness,['happiness'],True
54477f9f5c,melissa_leah car wont start,negative,morning,46-60,Ireland,4937786,68890,72,sadness,['sadness'],True
9c52e5ba66, love days school one friday,positive,night,70-100,Pakistan,220892340,770880,287,happiness,['happiness'],True
4e93939f99, weekend standby duty,neutral,noon,60-70,Libya,6871292,1759540,4,df,['df'],True
34b20a06ef,awoooogahhhhhh heheee hope get decently priced breakfast real quick david,positive,night,31-45,Senegal,16743927,192530,87,happiness,['happiness'],True
66095230ee,spending qt hubby,positive,night,31-45,United Kingdom,67886011,241930,281,happiness,['happiness'],True
be266a8cef,huh ill try for reason try,neutral,noon,60-70,Fiji,896445,18270,49,df,['happiness'],False
0435d42f80,mad hell someone stole pink  black leapord print pumps wanted wear today god glory hell bless abundantly,negative,night,31-45,Mexico,128932753,1943950,66,anger,['anger'],True
54fb6ac46e,kisses screwed ill raggy old cat woman ha im pretty sure,negative,noon,60-70,Samoa,198414,2830,70,happiness,['happiness'],True
aff624f133,thanx tom love u  great day,positive,morning,0-20,Vanuatu,307145,12200,25,happiness,['happiness'],True
0ba8d6cdb3,actually planning working  wth alas meetings kaiboshed plan,neutral,morning,46-60,Kazakhstan,18776707,2699700,7,df,['df'],True
4633886fcf,side  seat loner please starbucks there,neutral,morning,0-20,Egypt,102334404,995450,103,sadness,['sadness'],True
4ce03d596c,want travel little,neutral,noon,21-30,Grenada,112523,340,331,happiness,['sadness'],False
fff190b4af,burden abit fail lunch dan,negative,night,31-45,Ecuador,17643054,248360,71,sadness,['sadness'],True
bc6cc9565c,still raining bayi forget sunshine looks like ,negative,night,31-45,Pakistan,220892340,770880,287,sadness,['sadness'],True
26702e60d9,dream u like,negative,night,31-45,South Africa,59308690,1213090,49,sadness,['sadness'],True
99f9b82224,happy mothers day moms,positive,morning,46-60,Norway,5421241,365000,15,happiness,['happiness'],True
03a3f63189,fee pain lady ga ga drive insane oh dear god songs head,negative,night,70-100,Madagascar,27691018,581795,48,fear,['fear'],True
b2fa4959e7,stian lacroix bankrupt sad,negative,noon,60-70,Guinea-Bissau,1968001,28120,70,sadness,['sadness'],True
fc9b461812,good plan peg plus like sound money monday,positive,night,70-100,Zimbabwe,14862924,386850,38,happiness,['happiness'],True
9834c18bbd,waitin fall boy,neutral,noon,60-70,Angola,32866272,1246700,26,df,['df'],True
2a9765b7f9,give easily,negative,night,31-45,Gambia,2416668,10120,239,sadness,['sadness'],True
ce6a3a4f2f,standing ovation wieters nobody sitting down insane hit double play though,positive,noon,60-70,Armenia,2963243,28470,104,df,['df'],True
b3edc4f9bb,stay away home since part india dnt hav gud wireless internet im ,negative,night,31-45,Thailand,69799978,510890,137,sadness,['sadness'],True
ad6c3de0ae,saying goodbye something familiar never becomes familiar,negative,night,70-100,Croatia,4105267,55960,73,sadness,['sadness'],True
cb485c99a5,starting get sad,negative,night,31-45,Ghana,31072940,227540,137,sadness,['sadness'],True
4c2e5f9b2c,hi bruce trying eat healthy kinda scary read eat that maggots rat hair food,neutral,night,31-45,Namibia,2540905,823000,3,fear,['fear'],True
b77945b86e,whaa really should   definitely optional though liked them im also crazy,positive,morning,46-60,Nauru,10824,20,541,df,['df'],True
3932877e2b,dammit passes still work,negative,morning,46-60,Dominica,71986,750,96,anger,['anger'],True
4c8908e55c,more,negative,noon,21-30,Tuvalu,11792,30,393,df,['df'],True
63a116ae1b,see  sec clip new moon trailer etonlinecom check out big tease though,negative,morning,0-20,Austria,9006398,82400,109,surprise,['surprise'],True
9352776c41,today longest day ever going sleep beach bound tomorrow good night twitter,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,disgust,['disgust'],True
f36ca75512,ashlie thank you made feel little better,positive,noon,21-30,Fiji,896445,18270,49,happiness,['df'],False
32c20a8817,ill guess see everyone weekend gunna major tweet cravings entire time,neutral,morning,0-20,Bahrain,1701575,760,2239,sadness,['sadness'],True
95410148bf,little beetle feeling love searches bring zilch bar  peeps appear funny ,positive,night,31-45,Suriname,586632,156000,4,sadness,['sadness'],True
a0e2fdc0e2,june th sat,neutral,night,31-45,Guatemala,17915568,107160,167,df,['df'],True
8d1413e0fa,negghead mix air ,neutral,morning,0-20,Rwanda,12952218,24670,525,df,['df'],True
3eab4d3d25,_joyner cant even tell me  done professionally  ,negative,night,31-45,United Kingdom,67886011,241930,281,anger,['happiness'],False
b7593875b9,hurts breathe again why,negative,morning,0-20,Nauru,10824,20,541,fear,['fear'],True
c6d0332935,aww  okwe ended getting later expected didnt goi would called able to c u n austin,neutral,morning,0-20,Yemen,29825964,527970,56,sadness,['sadness'],True
69ddcd6dfb,hahah love them,positive,morning,46-60,Singapore,5850342,700,8358,happiness,['happiness'],True
af36799256,must insist write essays twitter way   characters,neutral,morning,0-20,United States of America,331002651,9147420,36,df,['df'],True
822f5140fb,neither could i looked ebay like  euro two doubt parents would fork amount,negative,night,31-45,Equatorial Guinea,1402985,28050,50,sadness,['sadness'],True
990cdeae87,want see david cook,positive,morning,46-60,Mali,20250833,1220190,17,happiness,['happiness'],True
023a512e52,hahha drugs though,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,df,['df'],True
fe0573baea,love polaroid  shame make film anymore,neutral,night,70-100,Zimbabwe,14862924,386850,38,sadness,['sadness'],True
0c640602c2,spend weekendto spend weekendthat hte question mind,negative,noon,60-70,Chad,16425864,1259200,13,df,['df'],True
6a5ec5682e,ready dc tomorrow photo trippin,neutral,noon,60-70,Lebanon,6825445,10230,667,happiness,['happiness'],True
04510889b6,_kill_boy oh sorry getting replies nothing you yes know nirvana,negative,night,70-100,Liechtenstein,38128,160,238,df,['sadness'],False
a0fc51cb4d,weekend cuzzo vivi cant stand leave  weeks,negative,morning,0-20,Mozambique,31255435,786380,40,sadness,['sadness'],True
c8f8d43d40,balance  unfortunately havent able find card limit high enough transfer whole thing,negative,noon,60-70,Romania,19237691,230170,84,sadness,['sadness'],True
2f4647bf36,sadly robot songs library,negative,morning,0-20,Dominica,71986,750,96,sadness,['sadness'],True
052fbbb0a9,sat alone whilst jay plays phone,neutral,night,31-45,Cabo Verde,555987,4030,138,sadness,['sadness'],True
2fbae49319,f hours guess sleepin living room,neutral,noon,60-70,Israel,8655535,21640,400,df,['df'],True
060ea6c6c8,ok super bored guess one else,negative,noon,60-70,Somalia,15893222,627340,25,sadness,['sadness'],True
4bc2de8a68,sadly awake wondering contact info fun folks hung shop yay b miss guys,negative,noon,21-30,Zambia,18383955,743390,25,sadness,['happiness'],False
68503bdeea,love stereosound hq headphones,positive,morning,0-20,Argentina,45195774,2736690,17,happiness,['happiness'],True
397392f0d9,word,neutral,night,31-45,Algeria,43851044,2381740,18,df,['df'],True
6e3eca51b2,kind like birthday days long,neutral,night,70-100,Comoros,869601,1861,467,df,['df'],True
