ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (Km²),Density (P/Km²),Ground Truth
d1d7ed938d, - great site.  The photos on it are fantastic.  Will be very useful for my visit to Pembroke (inc Skomer) in June,positive,morning,46-60,Egypt,102334404,995450,103,happiness
be0a927a80,_N - me too!! I don`t want to ooze while speaking either!  (why do I have lame jokes about wiping social media off my shoe? lol),neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,df
6b4eb2871c,"  Thanks for the link, ive voted & i`ll send that out too.",positive,noon,21-30,Bulgaria,6948445,108560,64,df
9c503adc87,"also, Lipton`s Sparkling Green Tea is gross",neutral,noon,21-30,Somalia,15893222,627340,25,disgust
3e1f7acd3c, i don`t know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,negative,night,70-100,Monaco,39242,1,26337,anger
c818fdf4b8,http://twitpic.com/66xjl - An hour in the sun turned me into a blancmange. Sucks to be pale,negative,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,sadness
b01c96b216,: Where are you?,neutral,noon,21-30,Paraguay,7132538,397300,18,df
c5a47367cc,Come join the fun as I through out the first pitch at the Legends game... May 16th @ 7 pm!   http://tinyurl.com/6nkpuz,neutral,morning,0-20,Timor-Leste,1318445,14870,89,happiness
a16aa7fcc4,happy mother`s day!!!     gr8 day,positive,morning,0-20,Haiti,11402528,27560,414,happiness
553beefa8b,"Ever since Orchid quit drinking from a bottle, she`s been eating us out of house and home! Holy **** girl! Still not drinking milk though",neutral,noon,60-70,Nicaragua,6624554,120340,55,surprise
905ae17f24, I walk to & from work...about 25 mins...think that makes it worse   Improves once indoors tho.,neutral,noon,21-30,Switzerland,8654622,39500,219,sadness
684b2dcea7, but it is a good one,positive,noon,60-70,Germany,83783942,348560,240,df
c4cad35b0f,The comp deleted half my apps,negative,night,70-100,Comoros,869601,1861,467,sadness
5552d4fffb, oh how the ladies will suffer now  LOL,neutral,morning,46-60,Rwanda,12952218,24670,525,df
